customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1201,0,0,1,1,8,1,0,0,0,0,0,0,0,0,0,1,2,45.45,411.75,0
6073,1,0,1,1,38,1,0,0,2,2,2,2,2,0,1,0,2,74.05,2802.3,0
5859,1,0,0,0,69,1,0,2,1,1,1,1,1,1,2,0,1,19.95,1399.35,0
1906,1,0,0,1,0,1,2,0,2,2,0,2,0,0,2,1,0,61.9,2283.3004408418656,0
37,0,0,1,0,59,1,2,1,2,2,0,0,2,0,0,1,2,94.75,5597.65,0
3113,1,0,1,1,2,1,0,2,1,1,1,1,1,1,1,0,3,19.85,35.9,1
26,0,0,1,1,55,1,0,1,0,2,2,2,2,2,1,1,0,103.7,5656.75,0
6620,0,0,1,1,45,1,2,1,2,2,0,0,2,2,0,1,2,105.15,4730.9,0
1635,1,1,1,0,65,1,2,1,0,2,2,0,2,2,0,1,2,104.35,6578.55,0
1532,0,0,1,0,51,1,0,0,2,2,0,2,0,0,1,1,0,60.5,3145.15,0
4487,1,0,1,1,67,1,2,0,2,2,2,2,0,0,1,1,1,69.35,4653.25,0
109,0,1,1,0,58,1,0,1,2,2,0,2,2,2,1,1,1,105.5,6205.5,1
2633,1,0,1,1,66,0,1,0,0,0,2,2,2,2,2,0,0,54.65,3632.0,0
1165,1,0,1,0,51,1,2,1,0,2,0,0,0,2,1,1,1,90.35,4614.55,0
3097,0,1,0,0,13,1,0,1,0,0,2,0,0,0,0,1,2,74.3,940.35,1
6452,1,0,1,1,64,1,0,2,1,1,1,1,1,1,2,1,0,19.7,1274.05,0
5440,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.2,69.2,1
1856,1,1,0,0,29,1,0,1,0,2,2,0,2,2,0,1,0,101.45,2948.6,0
362,1,1,1,0,55,1,2,1,0,0,0,0,0,0,0,1,2,74.0,4052.4,0
3090,1,0,0,0,3,0,1,0,0,2,0,2,0,0,0,1,3,36.85,108.7,1
459,1,1,1,0,32,1,2,1,0,2,2,0,0,2,0,1,2,93.5,2970.8,0
2171,1,0,1,1,25,1,0,0,2,0,0,2,0,0,0,0,2,54.3,1296.8,0
3208,0,1,1,0,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2514.5,1
2023,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,69.95,69.95,0
2344,0,0,1,1,9,1,0,2,1,1,1,1,1,1,2,0,3,19.75,210.65,0
529,1,0,0,0,9,0,1,0,0,0,0,0,2,0,0,1,1,34.7,296.1,1
2884,1,0,0,0,10,1,0,1,0,0,0,0,2,2,0,1,2,89.5,863.1,1
3024,0,0,0,0,5,1,0,0,2,0,2,0,0,0,0,0,1,55.8,300.4,0
4522,1,0,1,1,16,1,0,0,2,0,2,0,2,0,2,0,3,64.25,1024.0,0
3889,1,0,0,0,19,1,0,2,1,1,1,1,1,1,2,1,3,19.95,373.5,0
4632,1,0,0,0,15,0,1,0,0,0,2,0,2,2,1,0,2,50.75,688.2,0
5740,1,0,0,0,10,1,0,2,1,1,1,1,1,1,1,0,3,19.5,225.85,0
5661,0,0,1,0,25,1,0,1,0,0,2,0,0,0,0,1,2,74.6,1797.75,0
3241,0,0,1,1,6,1,2,1,0,0,0,2,0,0,0,1,2,80.5,502.85,1
6164,0,0,1,1,10,1,2,1,0,0,0,0,0,2,0,0,2,85.95,858.6,0
4333,0,0,1,0,72,0,1,0,2,2,2,2,2,2,2,0,0,65.5,4919.7,0
930,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.05,20.05,1
313,1,0,0,0,3,1,0,2,1,1,1,1,1,1,0,1,1,20.75,67.1,0
4570,0,0,1,1,70,1,2,0,2,2,2,2,2,0,2,0,2,80.7,5617.95,0
4728,1,0,1,1,72,1,2,0,2,0,2,2,2,2,2,1,1,83.55,6093.3,0
5290,0,0,1,0,13,0,1,0,0,0,2,0,2,2,0,1,0,48.75,633.4,1
4824,0,0,1,1,5,1,0,1,0,0,0,0,2,0,0,1,2,80.85,356.1,0
1470,0,1,0,0,71,1,2,1,0,2,2,0,2,2,1,1,2,105.9,7521.95,0
366,0,0,1,0,28,1,0,2,1,1,1,1,1,1,0,0,3,20.5,563.05,0
1365,1,0,0,0,12,1,2,1,0,2,2,0,2,2,0,1,2,106.7,1253.9,1
6003,0,0,1,1,72,1,0,0,2,2,2,2,0,2,2,1,2,74.35,5237.4,0
5755,1,0,1,1,59,1,0,0,0,2,2,2,2,2,1,0,1,76.75,4541.9,0
3984,1,0,0,1,20,1,0,2,1,1,1,1,1,1,0,1,2,19.4,374.5,1
628,0,1,1,0,60,1,2,1,0,2,0,0,0,2,0,0,2,89.45,5294.6,0
897,0,0,1,0,72,1,2,1,0,0,2,0,2,2,2,1,2,97.85,6841.3,0
4783,0,0,1,0,63,1,0,1,0,2,0,0,2,2,1,1,2,96.0,6109.75,0
6837,0,1,0,0,37,1,2,1,2,2,0,0,2,2,0,1,0,106.75,4056.75,1
